achievement_id,group_id,name,tier,tier_name,category,rarity,rule_type,rule_filter,target,display_order,xp_reward,description,evidence_hint,is_hidden,hint,auto_grant,ui_badge_style,icon_path,icon_url
ACH_SESSION_T1,ACH_SESSION,세션 루틴 I,1,Bronze,세션,common,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",8,1,120,세션 루틴 I - 조건 8회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_SESSION_T2,ACH_SESSION,세션 루틴 II,2,Silver,세션,rare,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",24,1,220,세션 루틴 II - 조건 24회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_SESSION_T3,ACH_SESSION,세션 루틴 III,3,Gold,세션,epic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",60,1,360,세션 루틴 III - 조건 60회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_SESSION_T4,ACH_SESSION,세션 루틴 IV,4,Platinum,세션,legendary,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",140,1,520,세션 루틴 IV - 조건 140회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_SESSION_T5,ACH_SESSION,세션 루틴 V,5,Diamond,세션,mythic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",280,1,740,세션 루틴 V - 조건 280회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_SESSION_T6,ACH_SESSION,세션 루틴 VI,6,Master,세션,mythic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",520,1,980,세션 루틴 VI - 조건 520회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_DURATION_T1,ACH_DURATION,누적 시간 I,1,Bronze,지속성,common,sum_duration,"{""event_type"": ""SESSION""}",300,2,140,누적 시간 I - 누적 연습 300분 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_DURATION_T2,ACH_DURATION,누적 시간 II,2,Silver,지속성,rare,sum_duration,"{""event_type"": ""SESSION""}",1200,2,250,누적 시간 II - 누적 연습 1200분 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_DURATION_T3,ACH_DURATION,누적 시간 III,3,Gold,지속성,epic,sum_duration,"{""event_type"": ""SESSION""}",3600,2,390,누적 시간 III - 누적 연습 3600분 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_DURATION_T4,ACH_DURATION,누적 시간 IV,4,Platinum,지속성,legendary,sum_duration,"{""event_type"": ""SESSION""}",9000,2,560,누적 시간 IV - 누적 연습 9000분 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
