event_id,created_at,start_at,end_at,duration_min,event_type,activity,xp,title,notes,song_library_id,drill_id,quest_id,achievement_id,tags,evidence_type,evidence_path,evidence_url,meta_json,source
EVT_MOCK_0001,2026-01-03T21:35:00,2026-01-03T21:00:00,2026-01-03T21:35:00,35,SESSION,Song,128,Session - Song/SongPractice,리프 정확도 점검,L9001,,,,SONG;SONG_PRACTICE;METRO_24,,,,{},app
EVT_MOCK_0002,2026-01-04T20:20:00,2026-01-04T20:00:00,2026-01-04T20:20:00,20,SESSION,Drill,82,Session - Drill/Core,클린뮤트 정리,,D001,,,DRILL;CORE;CLEAN_MUTE,,,,{},app
EVT_MOCK_0003,2026-01-05T21:30:00,2026-01-05T21:00:00,2026-01-05T21:30:00,30,SESSION,Song,118,Session - Song/SongCopy,인트로 라인 카피,L9002,,,,SONG;SONG_COPY;METRO_ONEBAR,,,,{},app
EVT_MOCK_0004,2026-01-10T22:15:00,2026-01-10T21:40:00,2026-01-10T22:15:00,35,SESSION,Song,126,Session - Song/SongPractice,16분 포켓 유지,L9001,,,,SONG;SONG_PRACTICE;CORE,,,,{},app
EVT_MOCK_0005,2026-01-11T21:25:00,2026-01-11T21:00:00,2026-01-11T21:25:00,25,SESSION,Drill,96,Session - Drill/Funk,고스트 엔진 체크,,D006,,,DRILL;FUNK;SLAP,,,,{},app
EVT_MOCK_0006,2026-01-12T21:40:00,2026-01-12T21:05:00,2026-01-12T21:40:00,35,SESSION,Song,132,Session - Song/SongPractice,합주 대비 템포 업,L9004,,,,SONG;SONG_PRACTICE;RECORDING_AUDIO,audio,evidence/audio/mock_take_01.mp3,,{},app
EVT_MOCK_0007,2026-01-12T21:41:00,,,,QUEST_CLAIM,Quest,24,Weekly Quest Claimed,주간 퀘스트 수령,,,,Q_WEEKLY_1,, ,,,{},app
EVT_MOCK_0008,2026-01-20T21:20:00,2026-01-20T20:50:00,2026-01-20T21:20:00,30,SESSION,Song,114,Session - Song/SongPractice,공백 이후 재시동,L9003,,,,SONG;SONG_PRACTICE,,,,{},app
EVT_MOCK_0009,2026-01-21T21:20:00,2026-01-21T21:00:00,2026-01-21T21:20:00,20,SESSION,Drill,78,Session - Drill/Theory,리듬 읽기 복구,,D010,,,DRILL;THEORY,,,,{},app
EVT_MOCK_0010,2026-01-22T22:05:00,2026-01-22T21:35:00,2026-01-22T22:05:00,30,SESSION,Song,120,Session - Song/SongLearn,구간 연결 시도,L9002,,,,SONG;SONG_LEARN;AB_COMPARE,,,,{},app
EVT_MOCK_0011,2026-02-05T21:40:00,2026-02-05T21:00:00,2026-02-05T21:40:00,40,SESSION,Song,146,Session - Song/SongPractice,공연 셋리스트 집중,L9004,,,,SONG;SONG_PRACTICE;RECORDING_VIDEO,video,evidence/video/mock_live_01.mp4,,{},app
EVT_MOCK_0012,2026-02-06T21:25:00,2026-02-06T21:00:00,2026-02-06T21:25:00,25,SESSION,Drill,90,Session - Drill/Core,1마디 클릭 유지,,D003,,,DRILL;CORE;METRO_ONEBAR,,,,{},app
EVT_MOCK_0013,2026-02-14T22:30:00,2026-02-14T21:30:00,2026-02-14T22:30:00,60,SESSION,Song,182,Session - Song/SongPractice,공연 리허설 풀테이크,L9006,,,,SONG;SONG_PRACTICE;PERFORMANCE;RECORDING_AUDIO,audio,evidence/audio/mock_rehearsal_01.mp3,,{},app
EVT_MOCK_0014,2026-02-15T21:55:00,,,,ACHIEVEMENT_CLAIM,Achievement,88,Achievement Claimed,연속 루틴 업적 수령,,,,,ACHIEVEMENT,,,,{},app
EVT_MOCK_0015,2026-02-20T20:40:00,2026-02-20T20:10:00,2026-02-20T20:40:00,30,SESSION,Song,122,Session - Song/SongPractice,굿타임즈 리듬 고정,L9003,,,,SONG;SONG_PRACTICE;METRO_24,,,,{},app
EVT_MOCK_0016,2026-02-21T21:15:00,2026-02-21T20:55:00,2026-02-21T21:15:00,20,SESSION,Drill,84,Session - Drill/Funk,워킹 라인 정리,,D009,,,DRILL;FUNK,,,,{},app
EVT_MOCK_0017,2026-02-23T21:00:00,2026-02-23T20:25:00,2026-02-23T21:00:00,35,SESSION,Song,136,Session - Song/SongPractice,공연 직전 체크,L9004,,,,SONG;SONG_PRACTICE;BAND,,,,{},app
EVT_MOCK_0018,2026-02-24T21:30:00,2026-02-24T20:50:00,2026-02-24T21:30:00,40,SESSION,Song,148,Session - Song/SongPractice,무대 후 피드백 반영,L9006,,,,SONG;SONG_PRACTICE;AB_COMPARE,,,,{},app
EVT_MOCK_0019,2026-02-25T21:10:00,2026-02-25T20:30:00,2026-02-25T21:10:00,40,SESSION,Song,150,Session - Song/SongPractice,Dean Town 텐션 업,L9001,,,,SONG;SONG_PRACTICE;SLAP,,,,{},app
EVT_a801d6a504c9,2026-03-01T14:45:35,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,64,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772343935583,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 64, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 64, ""daily_cap_reduced"": 0}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_b4518fd98222,2026-03-01T14:45:35,,,0,ACHIEVEMENT_CLAIM,,140,Achievement: 드릴 탐험가,Auto granted (5/5),,,,ACH_DCOLLECT_T1,ACHIEVEMENT;드릴,,,,"{""auto"": true, ""progress"": 5, ""target"": 5, ""raw_reward"": 140}",system
EVT_620e1ed66b42,2026-03-01T14:45:35,,,0,ACHIEVEMENT_CLAIM,,140,Achievement: 곡 수집 입문,Auto granted (5/5),,,,ACH_SCOLLECT_T1,ACHIEVEMENT;곡,,,,"{""auto"": true, ""progress"": 5, ""target"": 5, ""raw_reward"": 140}",system
EVT_9390807aa787,2026-03-01T14:45:35,,,0,ACHIEVEMENT_CLAIM,,120,Achievement: 곡 연습 첫 페달,Auto granted (11/10),,,,ACH_SONG_T1,ACHIEVEMENT;곡,,,,"{""auto"": true, ""progress"": 11, ""target"": 10, ""raw_reward"": 120}",system
