﻿unlock_id,level_required,type,name,description,asset,notes
,1,Feature,Lv.1 HUD Upgrade,Expanded HUD stats become available.,,auto-generated
U001,2,Theme,다크 모드,어두운 테마 해금,theme_dark.css,
U002,3,Title,포켓 탐색자,내 칭호로 설정 가능,,
,4,Utility,Lv.4 Search Upgrade,Record search options are expanded.,,auto-generated
U003,5,Feature,업적 토스트 알림,업적 해금/달성 애니메이션 표시,,
,6,Feature,Lv.6 HUD Upgrade,Expanded HUD stats become available.,,auto-generated
U004,7,Theme,네온 펑크,Jamiroquai 감성 네온 테마,theme_neonfunk.css,
U005,8,Feature,보스 카드 갤러리,완주 곡/귀카피 보스 카드 수집 화면,,
,9,Utility,Lv.9 Search Upgrade,Record search options are expanded.,,auto-generated
U006,10,Feature,공유 카드 생성,레벨/칭호/최근 업적을 이미지로 내보내기,,
,11,Feature,Lv.11 HUD Upgrade,Expanded HUD stats become available.,,auto-generated
U007,12,Feature,레퍼런스 플레이어,원곡/내 테이크를 앱 안에서 바로 재생합니다.,,
,13,Visual,Lv.13 Badge Upgrade,Badge visuals are upgraded.,,auto-generated
,14,Utility,Lv.14 Search Upgrade,Record search options are expanded.,,auto-generated
U008,15,Token,퀘스트 리롤권,주간 퀘스트 1개 교체 가능(주 1회),,Token은 설정/기능으로 구현 가능
U012,16,Theme,선셋 펀치,따뜻한 석양 톤의 고대비 테마,theme_sunset.css,
,17,Title,Lv.17 Title Slot,A new profile title slot is unlocked.,,auto-generated
U009,18,Theme,재즈 라운지,재즈펑크/워킹 분위기 테마,theme_jazzlounge.css,
,19,Utility,Lv.19 Search Upgrade,Record search options are expanded.,,auto-generated
U010,20,Feature,스킬 트리 뷰,기본기/펑크&재즈/이론/슬랩 진행 시각화,,
,21,Feature,Lv.21 HUD Upgrade,Expanded HUD stats become available.,,auto-generated
U013,22,Theme,포레스트 그루브,눈 편한 녹색 계열의 집중 테마,theme_forest.css,
,23,Visual,Lv.23 Badge Upgrade,Badge visuals are upgraded.,,auto-generated
,24,Utility,Lv.24 Search Upgrade,Record search options are expanded.,,auto-generated
,25,Collectible,Lv.25 Collection Slot,A new collectible slot is unlocked.,,auto-generated
,26,Feature,Lv.26 HUD Upgrade,Expanded HUD stats become available.,,auto-generated
,27,Title,Lv.27 Title Slot,A new profile title slot is unlocked.,,auto-generated
,28,Visual,Lv.28 Badge Upgrade,Badge visuals are upgraded.,,auto-generated
,29,Utility,Lv.29 Search Upgrade,Record search options are expanded.,,auto-generated
U014,30,Theme,미드나이트 펄스,짙은 블루 기반의 고대비 테마,theme_midnight.css,
,31,Feature,Lv.31 HUD Upgrade,Expanded HUD stats become available.,,auto-generated
,32,Title,Lv.32 Title Slot,A new profile title slot is unlocked.,,auto-generated
,33,Visual,Lv.33 Badge Upgrade,Badge visuals are upgraded.,,auto-generated
,34,Utility,Lv.34 Search Upgrade,Record search options are expanded.,,auto-generated
,35,Collectible,Lv.35 Collection Slot,A new collectible slot is unlocked.,,auto-generated
,36,Feature,Lv.36 HUD Upgrade,Expanded HUD stats become available.,,auto-generated
,37,Title,Lv.37 Title Slot,A new profile title slot is unlocked.,,auto-generated
,38,Visual,Lv.38 Badge Upgrade,Badge visuals are upgraded.,,auto-generated
,39,Utility,Lv.39 Search Upgrade,Record search options are expanded.,,auto-generated
,40,Collectible,Lv.40 Collection Slot,A new collectible slot is unlocked.,,auto-generated
,41,Feature,Lv.41 HUD Upgrade,Expanded HUD stats become available.,,auto-generated
,42,Title,Lv.42 Title Slot,A new profile title slot is unlocked.,,auto-generated
,43,Visual,Lv.43 Badge Upgrade,Badge visuals are upgraded.,,auto-generated
,44,Utility,Lv.44 Search Upgrade,Record search options are expanded.,,auto-generated
,45,Collectible,Lv.45 Collection Slot,A new collectible slot is unlocked.,,auto-generated
,46,Feature,Lv.46 HUD Upgrade,Expanded HUD stats become available.,,auto-generated
,47,Title,Lv.47 Title Slot,A new profile title slot is unlocked.,,auto-generated
,48,Visual,Lv.48 Badge Upgrade,Badge visuals are upgraded.,,auto-generated
,49,Utility,Lv.49 Search Upgrade,Record search options are expanded.,,auto-generated
,50,Collectible,Lv.50 Collection Slot,A new collectible slot is unlocked.,,auto-generated
