event_id,created_at,start_at,end_at,duration_min,event_type,activity,xp,title,notes,song_library_id,drill_id,quest_id,achievement_id,tags,evidence_type,evidence_path,evidence_url,meta_json,source
EVT_cf376a0140b0,2026-01-02T21:26:00,2026-01-02T20:46:00,2026-01-02T21:26:00,40,SESSION,DrillPractice,1845,Mock Session 2026-01-02,Auto-generated 60-day sandbox history,,D014,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_4a42453fed6b,2026-01-04T21:56:00,2026-01-04T21:32:00,2026-01-04T21:56:00,24,SESSION,DrillPractice,1351,Mock Session 2026-01-04,Auto-generated 60-day sandbox history,,D012,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_d1160c52739b,2026-01-05T21:13:00,2026-01-05T20:25:00,2026-01-05T21:13:00,48,SESSION,DrillPractice,1872,Mock Session 2026-01-05,Auto-generated 60-day sandbox history,,D011,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_8bcd1dbc40f9,2026-01-06T19:58:00,2026-01-06T19:18:00,2026-01-06T19:58:00,40,SESSION,DrillPractice,1900,Mock Session 2026-01-06,Auto-generated 60-day sandbox history,,D010,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_f360a1fcdec0,2026-01-08T20:28:00,2026-01-08T20:04:00,2026-01-08T20:28:00,24,SESSION,DrillPractice,1406,Mock Session 2026-01-08,Auto-generated 60-day sandbox history,,D008,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_bf563b515097,2026-01-10T22:30:00,2026-01-10T21:50:00,2026-01-10T22:30:00,40,SESSION,DrillPractice,1680,Mock Session 2026-01-10,Auto-generated 60-day sandbox history,,D006,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_31ad762b103d,2026-01-12T20:00:00,2026-01-12T19:36:00,2026-01-12T20:00:00,24,SESSION,DrillPractice,1461,Mock Session 2026-01-12,Auto-generated 60-day sandbox history,,D004,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_e8e2ee0490b8,2026-01-14T21:02:00,2026-01-14T20:22:00,2026-01-14T21:02:00,40,SESSION,DrillPractice,1735,Mock Session 2026-01-14,Auto-generated 60-day sandbox history,,D002,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_b0f54f821bda,2026-01-15T19:47:00,2026-01-15T19:15:00,2026-01-15T19:47:00,32,SESSION,DrillPractice,1488,Mock Session 2026-01-15,Auto-generated 60-day sandbox history,,D001,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_88de3f66a623,2026-01-16T21:32:00,2026-01-16T21:08:00,2026-01-16T21:32:00,24,SESSION,DrillPractice,1516,Mock Session 2026-01-16,Auto-generated 60-day sandbox history,,D015,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_4df64411e998,2026-01-18T20:34:00,2026-01-18T19:54:00,2026-01-18T20:34:00,40,SESSION,DrillPractice,1790,Mock Session 2026-01-18,Auto-generated 60-day sandbox history,,D013,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
